
"%s: Invalid variable name, can not start with a digit","%s : nom de variable invalide, ne peut commencer par un chiffre","%s: Ungültiger Variablenname, darf nicht mit einer Ziffer beginnen",%s: اسم متغير غير صالح. يجب ألا يبدأ برقم
"%s: Invalid variable name, can only contain digits, letters and underscores","%s : nom de variable invalide, ne peut contenir que des chiffres, des lettres et tirets du bas","%s: Ungültiger Variablenname, darf nur Ziffern, Buchstaben und Unterstriche enthalten",%s: اسم متغير غير صالح. يجب أن يحوي أرقام وأحرف وتسطير سفلي فقط
CFA Franc,Franc CFA,CFA-Franc,فرنك أفريقي
Calculate,Calculer,Berechnen,احسب
Cables,Encablures,Kabel,كابل
Calculate Result,Calcule le résultat,Ergebnis berechnen,احسب النتيجة
"Calculates the amount of the periodic payment of a loan, where payments are made at the end of each payment period.",Calcule le montant du versement périodique pour le remboursement d’un emprunt dans lequel les paiements sont effectués à terme échu.,Berechnet die Höhe der periodischen Abzahlungsrate für einen Kredit bei Zahlungen am Ende jedes Zahlungszeitraums.,يحسب مقدار الدفع الدوري لقرض، حيث تُؤدّى الدفعات في نهاية كل فترة دفع.
"Calculates the depreciation allowance on an asset for a specified period of time, using the Sum-of-the-Years’-Digits method. This method of depreciation accelerates the rate of depreciation, so that more depreciation expense occurs in earlier periods than in later ones. The useful life is the number of periods, typically years, over which an asset is depreciated.","Calcule la dotation aux amortissements pour un actif sur une période donnée de temps avec la méthode d’amortissement comptable Softy. Cette méthode accélère le taux d’amortissement : les dotations sont plus élevées en début de période qu’en fin. La durée de vie représente le nombre de périodes, généralement annuelles, sur lesquelles l’actif est amorti.","Berechnet den zulässigen Abschreibungssatz eines Wirtschaftsguts für einen gegebenen Zeitraum nach der Sum-of-the-Years-Digits-Methode. Diese Methode erhöht die Abschreibungsrate so, dass in zeitnahen Perioden mehr Abschreibungskosten entstehen als in zeitferneren Perioden. Die sinnvolle Lebenszeit ist die Anzahl der Perioden, typischerweise Jahre, in denen das Wirtschaftsgut abgeschrieben wird.",يحسب بدل الاستهلاك على الأصل لفترة محددة من الوقت باستخدام طريقة مجموع أرقام السنوات. طريقة الإهلاك هذه تسرع معدل الإهلاك، بحيث يحدث زيادة في مصروف الإهلاك في الفترات السابقة أكثر منه في الفترات اللاحقة. العمر الإنتاجي هو عدد الفترات التي يتم خلالها استهلاك الأصل، والتي عادة ما تكون سنوات.
"Calculates the depreciation allowance on an asset for a specified period of time, using the double-declining balance method.",Calcule la dotation aux amortissements pour un actif sur une période donnée de temps avec la méthode d’amortissement dégressif à taux double.,Berechnet nach der geometrisch-degressiven Abschreibungsmethode den zulässigen Abschreibungssatz eines Wirtschaftsguts für einen gegebenen Zeitraum.,يحسب بدل الإهلاك على الأصل لفترة زمنية محددة، باستخدام أسلوب القسط المتناقص المزدوج
Calculates the future value of an investment based on a series of equal payments at a periodic interest rate over the number of payment periods in the term.,"Calcule la valeur à venir d’un placement, constitué par une série de versements égaux rémunérés à taux d’intérêt fixe par période durant le nombre de périodes prévues pour le mener à terme.",Berechnet den zukünftigen Wert (Zielwert) einer Investition bei regelmäßigen Zahlungen und einem periodischen Zinssatz über die Anzahl der Zahlungsperioden der Laufzeit.,يحسب القيمة المستقبلية للاستثمار على أساس سلسلة من الدفعات المتساوية بمعدل فائدة دوري على عدد فترات الدفع في الفصل.
"Calculates the number of compounding periods necessary to increase an investment of present value to a future value, at a fixed interest rate per compounding period.",Calcule le nombre de périodes de composition nécessaires pour porter un investissement d’une valeur de départ à une valeur donnée à terme compte tenu d’un taux d’intérêt fixe par période de composition.,"Berechnet die Anzahl der Perioden, die benötigt werden, um eine Investition von dem aktuellen Wert auf einen Zielwert bei einem festen Zinssatz pro Zinsperiode anwachsen zu lassen.",حساب عدد فترات التركيب اللازمة لزيادة استثمار القيمة الحالية إلى قيمة مستقبلية، بمعدل فائدة ثابت لكل فترة تركيب.
"Calculates the number of payment periods that are necessary during the term of an ordinary annuity, to accumulate a future value, at a periodic interest rate.","Calcule le nombre d’échéances nécessaires sur une durée de rente ordinaire, pour accumuler un capital à terme, à un taux d’intérêt périodique donné.","Berechnet die Anzahl der Zahlungsperioden, die bei einer normalen Annuität und einem periodischen Zinssatz benötigt werden, um einen zukünftigen Zielwert zu erreichen.",يحسب عدد فترات الدفع الضرورية خلال فصل القسط السنوي العادي لتجميع قيمة مستقبلية بمعدل فائدة دوري.
"Calculates the periodic interest necessary to increase an investment to a future value, over the number of compounding periods.",Calcule le taux d’intérêt par période nécessaire pour porter un investissement à une valeur donnée à terme compte tenu du nombre de périodes de composition.,"Berechnet den periodischen Zinssatz, der benötigt wird, um eine Investition über die Anzahl der Perioden auf einen Zielwert anwachsen zu lassen.",يحسب الفائدة الدورية اللازمة لزيادة الاستثمار إلى قيمة مستقبلية على عدد الفترات المركبة.
Calculates the present value of an investment based on a series of equal payments discounted at a periodic interest rate over the number of payment periods in the term.,Calcule la valeur initiale d’un investissement fondé sur une série de paiements égaux escomptés avec un taux d’intérêt périodique donné compte tenu du nombre de périodes de versement jusqu’à son terme.,Berechnet den Barwert (gegenwärtigen Wert) einer Investition bei regelmäßigen Zahlungen und einem periodischen Zinssatz über die Anzahl der Zahlungsperioden der Laufzeit.,يحسب القيمة الحالية للاستثمار بناءً على سلسلة من الدفعات المتساوية المخصومة بمعدل فائدة دوري على عدد فترات الدفع في الفصل.
"Calculates the resale price of a product, based on the product cost and the wanted gross profit margin.",Calcule le prix de vente d’un produit compte tenu du coût de production et de la marge brute souhaitée.,Berechnet den Wiederverkaufspreis eine Produktes basierend auf den Produktkosten und der gewünschten Bruttogewinnspanne.,يحسب سعر إعادة بيع المنتج، استنادًا إلى تكلفة المنتج وهامش الربح الإجمالي المطلوب.
"Calculates the straight-line depreciation of an asset for one period. The straight-line method of depreciation divides the depreciable cost evenly over the useful life of an asset. The useful life is the number of periods, typically years, over which an asset is depreciated.","Calcule l’amortissement linéaire d’un actif sur une période donnée. Cette méthode répartit la valeur d’amortissement de manière uniforme sur la durée de vie utile de l’actif. La vie utile correspond au nombre de périodes, généralement annuelles, sur lesquelles l’actif est amorti.","Berechnet die lineare Abschreibungsrate eines Wirtschaftsguts pro Periode. Die Methode der linearen Abschreibung teilt die Gesamtabschreibung über einen gewissen Zeitraum gleichmäßig auf jede einzelne Periode auf. Die sinnvolle Lebenszeit des Abschreibungsobjekts ist die Anzahl der Perioden, typischerweise Jahre, in denen das Wirtschaftsgut abgeschrieben wird.",يحسب الإهلاك بطريقة القسط الثابت للأصل لفترة واحدة. طريقة القسط الثابت للإهلاك تقسم التكلفة القابلة للإهلاك بالتساوي على مدى العمر الإنتاجي للأصل. العمر الإنتاجي هو عدد الفترات التي يتم خلالها استهلاك الأصل، والتي عادة ما تكون سنوات.
Calculating,Calcul en cours,Berechnung läuft,يحسب
Calculator,Calculatrice,Taschenrechner,آلة حاسبة
"Calculator is an application that solves mathematical equations. Though it at first appears to be a simple calculator with only basic arithmetic operations, you can switch into Advanced, Financial, or Programming mode to find a surprising set of capabilities.","La Calculatrice est une application pour résoudre des équations mathématiques. Bien qu’elle apparaisse initialement comme une simple calculatrice avec uniquement les opérations arithmétiques de base, vous pouvez basculer dans les modes Avancé, Financier ou Programmation pour découvrir un nombre surprenant de fonctionnalités.","Taschenrechner ist ein Programm zum Lösen von mathematischen Gleichungen. Obwohl die Anwendung auf den ersten Blick wie ein simpler Taschenrechner mit nur einfachen arithmetischen Operationen erscheint, kann in einen erweiterten, einen finanztechnischen und einen Informatik-Modus umgeschaltet werden, in denen sich überraschende Fähigkeiten befinden.",آلة الحاسبة هي تطبيق يحل المعادلات الرياضيّة. بالرغم من أنّها تبدو في البداية آلة حاسبة بسيطة تقوم بعمليات حسابية بسيطة، ألا إنه يمكنك التحويل للوضع المتقدم أو المالي أو البرمجي لتكتشف مجموعة مدهشة من الإمكانيات
Calorie,Calorie,Kalorie,سعرة حرارية
Canadian Dollar,Dollar canadien,Kanadische Dollar,دولار كندي
Ceiling,Partie entière supérieure,Aufrundung,سقف
Celsius,Degré Celsius,Celsius,مئوية
Centimeters,Centimètres,Zentimeter,سنتيمتر
Centuries,Siècles,Jahrhunderte,قرن
Change Word Size,Modifier la taille de mot,,غير حجم الكلمة
Character,Caractère,Zeichen,محرف
Chilean Peso,Peso chilien,Chilenische Peso,بيزو تشيلي
Chinese Yuan,Yuan chinois,Chinesische Yuan,يوان صيني
Clear Display [Escape],Efface l’affichage [Échap],Die Anzeige löschen [Escape],امسح الشاشة [Escape]
Clear history,Purger l’historique,Chronik leeren,مسح السجل
Close All?,Tout fermer ?,Alle schließen?,أَأُغلق الكل؟
Close All,Tout fermer,Alle schließen,أغلق الكل
Close current window,Fermer la fenêtre actuelle,Das aktuelle Fenster schließen,أغلق النافذة الحالية
Colombian Peso,Peso colombien,Kolumbianische Peso,بيزو كولومبي
Complex Argument,Argument complexe,Komplexes Argument,عمدة عدد مركّب
Complex Conjugate,Complexe conjugué,Komplexe Konjugation,مرافق عدد مركّب
Compounding Term,Durée de capitalisation,Wachstumsdauer,جزء مركّب
Conjugate,Conjugué,Konjugation,مرافق
Conversion,Conversion,,التحويل
Copy,Copier,Kopieren,نسخ
Copy result to clipboard,Copier le résultat dans le presse-papiers,Ergebnis in die Zwischenablage kopieren,نسخ النتيجة إلى الحافظة
Cosine,Cosinus,Kosinus,جيب التمام
Cost,Coût,,التكلفة
Croatian Kuna,Kuna croate,Kroatische Kuna,كونا كرواتي
Ctrm,Durée,KTrm,ممرك
Cubic Meters,Mètre cube,Kubikmeter,متر مكعب
Currency,Devise,Währung,العملة
Currency Conversion,Conversion monétaire,,تحويل العملة
Currency of the current calculation,Devise des calculs actuels,Währung der aktuellen Berechnung,عملة الحساب الحالي
Currency to convert the current calculation into,Devise de conversion du calcul en cours,"Währung, in welche die aktuelle Berechnung umgewandelt werden soll",العملة التي يحول الحساب الحالي لها
Currency update interval,Intervalle de mise à jour des devises,Aktualisierungsintervall von Währungen,الفاصل الزمني لتحديث العملة
Czech Koruna,Couronne tchèque,Tschechische Kronen,كرونة تشيكية
Daily,Tous les jours,Täglich,يومي
Danish Krone,Couronne danoise,Dänische Kronen,كرونة دنماركية
Days,Jours,Tage,يوم
Ddb,Amort. DD,Ddb,إتم
Decades,Décénies,Jahrzehnte,عقد
Decimal,Décimal,Dezimal,عشري
Defined Functions,Fonctions définies,Definierte Funktionen,الدوال المُعرّفة
Defined Variables,Variables définies,Definierte Variablen,المتغيرات المُعرّفة
Defined currencies,Monnaies définies,Definierte Währungen,العملات المُعرّفة
Degrees,Degrés,Grad,درجة
Desktop Publishing Point,Point pica,DTP-Punkt,نقطة النشر المكتبي
Digital Storage,Stockage numérique,Digitaler Datenspeicher,التخزين الرقمي
Displayed value not an integer,La valeur affichée n’est pas un entier,Angezeigter Wert ist keine Ganzzahl,اعرض قيمة بدلا من عدد صحيح
Divide (÷),Division (÷),Dividieren (÷),اقسم (÷)
Divide [/],Division [/],Dividieren [/],قسمة [\]
Division by zero is undefined,La division par zéro n’est pas définie,Division durch null ist nicht definiert,القسمة على الصفر غير معرفة
Double Declining Depreciation,Amortissement dégressif à taux double,Degressive Doppelratenabschreibung,إهلاك القسط المتناقص المزدوج
Double-Declining Depreciation,Amortissement dégressif à taux double,Geometrisch-degressive Abschreibung,إهلاك القسط المتناقص المزدوج
Duration,Temps,Dauer,المدة
Exchange Rate Refresh Interval,Intervalle de rafraîchissement des taux de change,,الفاصل الزمني لتحديث سعر الصرف
End Group [)],Fin de groupement [)],Block schließen [)],نهاية مجموعة [)]
Energy,Énergie,Energie,الطاقة
Enter numbers in scientific format,Entrer des nombres en écriture scientifique,Zahlen in wissenschaftlichem Format eingeben,ادخل الأرقام بالهئية العلمية
Erg,Erg,Erg,إرغ
Error: the number of periods must be positive,Erreur : le nombre d’échéances doit être positif,Fehler: Die Zahl der Perioden muss positiv sein,خطأ: يجب أن يكون عدد الأزمنة موجب
Estonian Kroon,Couronne estonienne,Estnische Kronen,كرونة استونية
Euler’s Number,Nombre d’Euler,Eulersche Zahl,رقم أويلر
Euro,Euro,Euro,يورو
European Central Bank,Banque Centrale Européenne,Europäische Zentralbank,البنك المركزي الأوروبي
Exabits,Exabits,Exabit,إكسابت
Exabytes,Exaoctets,Exabyte,إكسابايت
Exbibits,Exbibits,Exbibit,إكسبيبت
Exbibytes,Exbioctets,Exbibyte,إكسبيبايت
Exchange rate data providers,Fournisseurs de données sur les taux de change,Datenquellen für Wechselkurse,مزودي بيانات أسعار الصرف
Exchange rates data by %s,Données sur les taux de change fournies par %s,Wechselkursdaten von %s,بيانات أسعار الصرف بواسطة %s
Exponent [^ or **],Exposant [^ ou **],Exponent [^ oder **],أس [^ أو **]
Factorial [!],Factorielle [!],Fakultät [!],عاملي [!]
Factorial is only defined for non-negative real numbers,La factorielle n’est définie que pour les réels positifs,Fakultäten sind nur für nichtnegative ganze Zahlen definiert,المضروب يكون معرَّفًا للأرقام الحقيقية غير السالبة فقط
Factorize [Ctrl+F],Factoriser [Ctrl+F],Faktorisieren [Strg+F],حلل [Ctrl+F]
Fahrenheit,Fahrenheit,Fahrenheit,فهرنهايت
Fathoms,Brasses,Klafter,قامة
Feet,Pieds,Fuß,قدم
Feet per second,Pieds par seconde,Fuß pro Sekunde,قدم في الثانية
Financial,Financier,Finanztechnisch,مالي
Financial Mode,Mode financier,Finanztechnischer Modus,الوضع المالي
Financial Term,Valeur à terme,Finanztechnischer Begriff,فصل مالي
"Financial mode supports several computations, including periodic interest rate, present and future value, double declining and straight line depreciation, and many others.","Le mode financier permet plusieurs calculs dont le taux d’intérêt périodique, la valeur présente et future, l’amortissement dégressif et linéaire, et d’autres.","Der finanztechnische Modus unterstützt verschiedene Berechnungen, darunter periodischer Zinssatz, Barwert und zukünftigen Zielwert, degressive Doppelratenabschreibung und lineare Abschreibung und vieles mehr.",يدعم الوضع المالي العديد من الحسابات، بما في ذلك معدل الفائدة الدوري، والقيمة الحالية والمستقبلية، والانخفاض المزدوج والإهلاك بقسطٍ ثابت، وغيرها الكثير.
Floor,Partie entière inférieure,Abrundung,طابق
Fraction,Fraction,Bruch,جزء
Fractional Component,Partie fractionnaire,Gebrochener Anteil,الجزء الكسري
Frequency,Fréquence,Frequenz,التردد
Ft-lb,Ft-lb,Ft-lb,قدم-رطل
Function “%s” is not defined,La fonction « %s » n’est pas définie,Die Funktion »%s« ist nicht definiert,الدالة «%s» غير معرفة
Future Value,Valeur future,Zukünftiger Wert,القيمة المستقبلية
Fv,VF,Zw,القيمة المقبلة
General,Général,Allgemein,عام
Gibibits,Gibibits,Gibibit,غيبيبت
Gibibytes,Gibioctets,Gibibyte,غيبي بايت
Gigabits,Gigabits,Gigabit,غيغابت
Gigabytes,Gigaoctets,Gigabyte,غيغابايت
Gigahertz,Gigahertz,Gigahertz,غيغاهيرتز
Gpm,Marge,Bgs,هرج
Gradians,Grades,Gon,غراديان
Grams,Grammes,Gramm,غرام
Gross Profit Margin,Marge brute,Bruttogewinnspanne,هامش الربح الإجمالي
Hectares,Hectares,Hektar,هكتار
Hectopascal,Hectopascal,,هكتوباسكال
"Hectopascal,hectopascal,hPa","Hectopascal,hectopascal,hPa",,"هكتوباسكال,هكتوباسكال,هكتوباسكال"
Hertz,Hertz,Hertz,هرتز
Hexadecimal,Hexadécimal,Hexadezimal,ست عشري
Hong Kong Dollar,Dollar de Hong Kong,Hong-Kong-Dollar,دولار هونغ كونغ
Hours,Heures,Stunden,ساعة
How often the currency exchange rates should be updated. A value of 0 means the currency exchange rates won't be fetched from the network at all.,À quelle fréquence les taux de change doivent être mis à jour. Une valeur de 0 signifie que les taux de change ne seront jamais obtenus par le réseau.,"Legt fest, wie oft die Wechselkurse für Währungen aktualisiert werden sollen. Bei einem Wert von 0 werden die Wechselkurse überhaupt nicht aktualisiert.",معدل تحديث أسعار صرف العملات. قيمة 0 تعني أن أسعار صرف العملات لن  تُجْلب من الشبكة أبداً
Hungarian Forint,Florin hongrois,Ungarische Forint,فورينت هنغاري
Hyperbolic Cosine,Cosinus hyperbolique,Hyperbolischer Cosinus,جيب التمام الزائد
Hyperbolic Sine,Sinus hyperbolique,Hyperbolischer Sinus,الجيب الزائد
Hyperbolic Tangent,Tangente hyperbolique,Hyperbolischer Tangens,الظل الزائد
Hyperbolic arccosine,Arc cosinus hyperbolique,Hyperbolischer Arkuskosinus,قوس جيب التمام الزائدي
Hyperbolic arcsine,Arc sinus hyperbolique,Hyperbolischer Arkussinus,قوس الجيب الزائدي
Hyperbolic arctangent,Arc tangente hyperbolique,Hyperbolischer Arkustangens,قوس الظل الزائدي
Hyperbolic cosine,Cosinus hyperbolique,Hyperbolischer Kosinus,جيب التمام الزائدي
Hyperbolic sine,Sinus hyperbolique,Hyperbolischer Sinus,جيب زائدي
Hyperbolic tangent,Tangente hyperbolique,Hyperbolischer Tangens,الظل الزائد
Icelandic Krona,Couronne islandaise,Isländische Kronen,كرونة أيسلندية
Imaginary,Imaginaire,Imaginär,تخيلي
Imaginary Component,Partie imaginaire,Imaginärer Teil,جزء تخيّلي
Imaginary Unit,Unité imaginaire,Imaginäre Einheit,وحدة تخيلية
Inch of Mercury,Pouce de mercure,,بوصة زئبق
"Inch of Mercury,inch of mercury,inHg","Pouce de mercure,pouce de mercure,inHg",,"بوصة زئبق,بوصة زئبق,بوصة زئبق"
Inches,Pouces,Zoll,بوصة
Indian Rupee,Roupie indienne,Indische Rupien,روبية هندية
Indicates whether any trailing zeroes after the numeric point should be shown in the display value.,Indique si la valeur affichée doit comporter des zéros de queue après la virgule décimale.,"Zeigt an, ob nachfolgende Nullen nach dem Komma in der Anzeige angezeigt werden sollen.",يشير إلى ما إذا كان يجب إظهار أي أصفار زائدة بعد النقطة الرقمية في قيمة العرض.
Indicates whether thousands separators are shown in large numbers.,Indique si les grands nombres doivent être affichés avec le séparateur des milliers ou pas.,"Zeigt an, ob Tausender-Trennzeichen in großen Zahlen angezeigt werden.",يدل إذا كانت فواصل الآلاف تعرض في الأرقام الكبيرة.
Indonesian Rupiah,Roupie indonésienne,Indonesische Rupiah,روبية إندونيسية
Insert Character Code,Insertion d’un code de caractère,Zeichen einfügen,أدرِج رمز محرِف
Integer,Entier,Ganzzahl,عدد صحيح
Integer Component,Partie entière,Ganzzahliger Anteil,الجزء الصحيح
Internal precision,Précision interne,Interne Genauigkeit,الدقّة الداخلية
International Monetary Fund,Fond Monétaire International,Internationaler Währungsfonds,صندوق النقد الدولي
Inverse,Inverse,Kehrwert,مقلوب
Inverse [Ctrl+I],Inverse [Ctrl+I],Kehrwert [Strg+I],مقلوب [Ctrl+I]
Inverse cosine,Cosinus inverse,Inverser Kosinus,مقلوب جيب التمام
"Inverse cosine is undefined for values outside [-1, 1]","L’arc cosinus n’est pas défini pour les valeurs hors du segment [-1, 1]","Inverser Kosinus ist nicht für Werte außerhalb des Intervalls [-1, 1] definiert",جيب التمام العكسي غير معرف للقيم خارج [-١، ١]
Inverse hyperbolic cosine,Cosinus hyperbolique inverse,Inverser hyperbolischer Kosinus,معكوس جيب التمام الزائدي
Inverse hyperbolic cosine is undefined for values less than one,L’argument cosinus hyperbolique n’est pas défini pour les valeurs inférieures à un,Inverser hyperbolischer Kosinus ist nicht für Werte kleiner als eins definiert,جيب التمام الزائدي العكسي غير معرف للقيم الأقل من واحد
Inverse hyperbolic sine,Cosinus hyperbolique inverse,Inverser hyperbolischer Sinus,معكوس الجيب الزائدي
Inverse hyperbolic tangent,Tangente hyperbolique inverse,Inverser hyperbolischer Tangens,معكوس الظل الزائدي
"Inverse hyperbolic tangent is undefined for values outside [-1, 1]","L’argument tangente hyperbolique n’est pas défini pour les valeurs en dehors du segment [-1, 1]","Inverser hyperbolischer Tangens ist nicht für Werte außerhalb des Intervalls [-1, 1] definiert",الظل الزائدي العكسي غير معرف للقيم خارج [-١، ١]
Inverse sine,Sinus inverse,Inverser Sinus,مقلوب الجيب
"Inverse sine is undefined for values outside [-1, 1]","L’arc sinus n’est pas défini pour les valeurs hors du segment [-1, 1]","Inverser Sinus ist nicht für Werte außerhalb des Intervalls [-1, 1] definiert",الجيب المعكوس غير معرف للقيم خارج [-١، ١]
Inverse tangent,Tangente inverse,Inverser Tangens,مقلوب الظل
Iranian Rial,Rial iranien,Iranische Rial,ريال إيراني
Israeli New Shekel,Nouveau shekel israélien,Neue israelische Shekel,شيكل إسرائيلي جديد
Jamaican Dollar,Dollar jamaïcain,Jamaikanische Dollar,دولار جامايكي
Japanese Yen,Yen japonais,Japanische Yen,ين ياباني
Joule,Joule,Joule,جول
"Joule,J,joule,joules","Joule,J,joule,joules","Joule,J","جول,جول,جول,جول"
"KJ,kilojoules,kilojoule","KJ,kilojoules,kilojoule","kJ,Kilojoule","كيلوجول,كيلوجول,كيلوجول"
Kazakhstani Tenge,Tengue du Kazakhstan,Kasachische Tenge,تينغ كازاخستاني
Kelvin,Kelvin,Kelvin,كلفن
Keyboard,Clavier,Tastatur,لوحة المفاتيح
Keyboard Mode,Mode clavier,Tastaturmodus,وضع لوحة المفاتيح
Keyboard Shortcuts,Raccourcis clavier,Tastenkombinationen,اختصارات لوحة المفاتيح
Keyboard entry,Saisie clavier,Tastatureingabe,مدخل لوحة المفاتيح
Keyboard shortcuts,Raccourcis clavier,Tastenkombinationen,اختصارات لوحة المفاتيح
Kibibits,Kibibits,Kibibit,كيبيبت
Kibibytes,Kibioctets,Kibibyte,كيبيبايت
Kilobits,Kilobits,Kilobit,كيلوبت
Kilobytes,Kilooctets,Kilobyte,كيلوبايت
Kilograms,Kilogrammes,Kilogramm,كيلوغرام
Kilohertz,Kilohertz,Kilohertz,كيلوهرتز
Kilojoules,Kilojoules,Kilojoule,كيلوجول
Kilometers,Kilomètres,Kilometer,كيلومتر
Kilometers per hour,Kilomètres par heure,Kilometer pro Stunde,كيلومتر في الساعة
Kilopascal,Kilopascal,,كيلو باسكال
"Kilopascal,kilopascal,kPa","Kilopascal,kilopascal,kPa",,"كيلو باسكال,كيلو باسكال,كيلو باسكال"
KilowattHour,Kilowatt-heure,Kilowattstunde,كيلووات-ساعة
Knots,Nœuds,Knoten,عقدة
Kuwaiti Dinar,Dinar koweïtien,Kuwaitische Dinar,دينار كويتي
Length,Longueur,Länge,الطول
Libyan Dinar,Dinar libyen,Libysche Dinar,دينار ليبي
Life,Durée de vie,,الحياة
Light Years,Années-lumière,Lichtjahre,سنة ضوئية
Liters,Litres,Liter,لتر
Logarithm,Logarithme décimal,Logarithmus,لوغاريتم
Logarithm of zero is undefined,Le logarithme de zéro n’est pas défini,Der Logarithmus von null ist nicht definiert,لوغاريتم الصفر غير معرف
